soc_code,occupation_title,employment_national,annual_median_wage,source
13-2071,Credit Counselors,28110.0,50480.0,BLS OEWS 2024
13-2072,Loan Officers,290530.0,74180.0,BLS OEWS 2024
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",127100.0,56160.0,BLS OEWS 2024
13-2081,"Tax Examiners and Collectors, and Revenue Agents",53530.0,59740.0,BLS OEWS 2024
13-2082,Tax Preparers,73570.0,50560.0,BLS OEWS 2024
13-2099,"Financial Specialists, All Other",127450.0,80190.0,BLS OEWS 2024
15-1200,Computer Occupations,4786660.0,105990.0,BLS OEWS 2024
15-1210,Computer and Information Analysts,677230.0,106890.0,BLS OEWS 2024
15-1211,Computer Systems Analysts,497800.0,103790.0,BLS OEWS 2024
15-1212,Information Security Analysts,179430.0,124910.0,BLS OEWS 2024
15-1221,Computer and Information Research Scientists,38480.0,140910.0,BLS OEWS 2024
15-1230,Computer Support Specialists,843660.0,61550.0,BLS OEWS 2024
15-1231,Computer Network Support Specialists,146450.0,73340.0,BLS OEWS 2024
15-1232,Computer User Support Specialists,697210.0,60340.0,BLS OEWS 2024
15-1240,Database and Network Administrators and Architects,633540.0,107480.0,BLS OEWS 2024
15-1241,Computer Network Architects,177010.0,130390.0,BLS OEWS 2024
15-1242,Database Administrators,73180.0,104620.0,BLS OEWS 2024
15-1243,Database Architects,64770.0,135980.0,BLS OEWS 2024
15-1244,Network and Computer Systems Administrators,318570.0,96800.0,BLS OEWS 2024
15-1250,"Software and Web Developers, Programmers, and Testers",2154370.0,129320.0,BLS OEWS 2024
15-1251,Computer Programmers,109870.0,98670.0,BLS OEWS 2024
15-1252,Software Developers,1654440.0,133080.0,BLS OEWS 2024
15-1253,Software Quality Assurance Analysts and Testers,199800.0,102610.0,BLS OEWS 2024
15-1254,Web Developers,78860.0,90930.0,BLS OEWS 2024
15-1255,Web and Digital Interface Designers,111400.0,98090.0,BLS OEWS 2024
15-1299,"Computer Occupations, All Other",439380.0,108970.0,BLS OEWS 2024
15-2000,Mathematical Science Occupations,406230.0,104620.0,BLS OEWS 2024
15-2011,Actuaries,28340.0,125770.0,BLS OEWS 2024
15-2021,Mathematicians,2220.0,121680.0,BLS OEWS 2024
15-2031,Operations Research Analysts,107760.0,91290.0,BLS OEWS 2024
15-2041,Statisticians,29800.0,103300.0,BLS OEWS 2024
15-2051,Data Scientists,233440.0,112590.0,BLS OEWS 2024
15-2099,"Mathematical Science Occupations, All Other",4660.0,71490.0,BLS OEWS 2024
17-1000,"Architects, Surveyors, and Cartographers",196590.0,82990.0,BLS OEWS 2024
17-1010,"Architects, Except Naval",130720.0,94010.0,BLS OEWS 2024
17-1011,"Architects, Except Landscape and Naval",111140.0,96690.0,BLS OEWS 2024
17-1012,Landscape Architects,19580.0,79660.0,BLS OEWS 2024
17-1020,"Surveyors, Cartographers, and Photogrammetrists",65870.0,74120.0,BLS OEWS 2024
17-1021,Cartographers and Photogrammetrists,12790.0,78380.0,BLS OEWS 2024
17-1022,Surveyors,53080.0,72740.0,BLS OEWS 2024
17-2000,Engineers,1746750.0,106070.0,BLS OEWS 2024
17-2011,Aerospace Engineers,68440.0,134830.0,BLS OEWS 2024
17-2021,Agricultural Engineers,1680.0,84630.0,BLS OEWS 2024
17-2031,Bioengineers and Biomedical Engineers,21860.0,106950.0,BLS OEWS 2024
17-2041,Chemical Engineers,20330.0,121860.0,BLS OEWS 2024
17-2051,Civil Engineers,355410.0,99590.0,BLS OEWS 2024
17-2061,Computer Hardware Engineers,75710.0,155020.0,BLS OEWS 2024
17-2070,Electrical and Electronics Engineers,282740.0,118780.0,BLS OEWS 2024
17-2071,Electrical Engineers,188790.0,111910.0,BLS OEWS 2024
17-2072,"Electronics Engineers, Except Computer",93940.0,127590.0,BLS OEWS 2024
17-2081,Environmental Engineers,37950.0,104170.0,BLS OEWS 2024
17-2110,"Industrial Engineers, Including Health and Safety",373440.0,101490.0,BLS OEWS 2024
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",23220.0,109660.0,BLS OEWS 2024
17-2112,Industrial Engineers,350230.0,101140.0,BLS OEWS 2024
17-2121,Marine Engineers and Naval Architects,8440.0,105670.0,BLS OEWS 2024
17-2131,Materials Engineers,22770.0,108310.0,BLS OEWS 2024
17-2141,Mechanical Engineers,286760.0,102320.0,BLS OEWS 2024
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6770.0,101020.0,BLS OEWS 2024
17-2161,Nuclear Engineers,14740.0,127520.0,BLS OEWS 2024
17-2171,Petroleum Engineers,18970.0,141280.0,BLS OEWS 2024
17-2199,"Engineers, All Other",150750.0,117750.0,BLS OEWS 2024
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",623870.0,66390.0,BLS OEWS 2024
17-3010,Drafters,185470.0,65380.0,BLS OEWS 2024
17-3011,Architectural and Civil Drafters,109550.0,64280.0,BLS OEWS 2024
17-3012,Electrical and Electronics Drafters,20020.0,73720.0,BLS OEWS 2024
17-3013,Mechanical Drafters,39900.0,68510.0,BLS OEWS 2024
17-3019,"Drafters, All Other",16010.0,62010.0,BLS OEWS 2024
17-3020,"Engineering Technologists and Technicians, Except Drafters",381680.0,70070.0,BLS OEWS 2024
17-3021,Aerospace Engineering and Operations Technologists and Technicians,9060.0,79830.0,BLS OEWS 2024
17-3022,Civil Engineering Technologists and Technicians,62130.0,64200.0,BLS OEWS 2024
17-3023,Electrical and Electronic Engineering Technologists and Technicians,92710.0,77180.0,BLS OEWS 2024
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,14680.0,70760.0,BLS OEWS 2024
17-3025,Environmental Engineering Technologists and Technicians,12500.0,58890.0,BLS OEWS 2024
17-3026,Industrial Engineering Technologists and Technicians,73410.0,64790.0,BLS OEWS 2024
17-3027,Mechanical Engineering Technologists and Technicians,37450.0,68730.0,BLS OEWS 2024
17-3028,Calibration Technologists and Technicians,15320.0,65040.0,BLS OEWS 2024
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",64410.0,77390.0,BLS OEWS 2024
17-3031,Surveying and Mapping Technicians,56720.0,51940.0,BLS OEWS 2024
19-1000,Life Scientists,374670.0,90500.0,BLS OEWS 2024
19-1010,Agricultural and Food Scientists,33440.0,78770.0,BLS OEWS 2024
19-1011,Animal Scientists,2470.0,79120.0,BLS OEWS 2024
19-1012,Food Scientists and Technologists,14370.0,85310.0,BLS OEWS 2024
19-1013,Soil and Plant Scientists,16600.0,71410.0,BLS OEWS 2024
19-1020,Biological Scientists,130910.0,93340.0,BLS OEWS 2024
19-1021,Biochemists and Biophysicists,34520.0,103650.0,BLS OEWS 2024
19-1022,Microbiologists,19760.0,87330.0,BLS OEWS 2024
19-1023,Zoologists and Wildlife Biologists,16920.0,72860.0,BLS OEWS 2024
19-1029,"Biological Scientists, All Other",59710.0,93330.0,BLS OEWS 2024
19-1030,Conservation Scientists and Foresters,35250.0,69060.0,BLS OEWS 2024
19-1031,Conservation Scientists,25590.0,67950.0,BLS OEWS 2024
19-1032,Foresters,9650.0,70660.0,BLS OEWS 2024
19-1040,Medical Scientists,167760.0,99770.0,BLS OEWS 2024
19-1041,Epidemiologists,11460.0,83980.0,BLS OEWS 2024
19-1042,"Medical Scientists, Except Epidemiologists",156300.0,100590.0,BLS OEWS 2024
19-1099,"Life Scientists, All Other",7320.0,87800.0,BLS OEWS 2024
19-2000,Physical Scientists,259000.0,92750.0,BLS OEWS 2024
19-2010,Astronomers and Physicists,22900.0,166290.0,BLS OEWS 2024
19-2011,Astronomers,1560.0,132170.0,BLS OEWS 2024
19-2012,Physicists,21340.0,166290.0,BLS OEWS 2024
19-2021,Atmospheric and Space Scientists,8780.0,97450.0,BLS OEWS 2024
19-2030,Chemists and Materials Scientists,91580.0,86620.0,BLS OEWS 2024
19-2031,Chemists,83250.0,84150.0,BLS OEWS 2024
19-2032,Materials Scientists,8330.0,104160.0,BLS OEWS 2024
19-2040,Environmental Scientists and Geoscientists,113160.0,82660.0,BLS OEWS 2024
19-2041,"Environmental Scientists and Specialists, Including Health",84930.0,80060.0,BLS OEWS 2024
19-2042,"Geoscientists, Except Hydrologists and Geographers",22510.0,99240.0,BLS OEWS 2024
19-2043,Hydrologists,5720.0,92060.0,BLS OEWS 2024
19-2099,"Physical Scientists, All Other",22580.0,117960.0,BLS OEWS 2024
19-3000,Social Scientists and Related Workers,279960.0,92900.0,BLS OEWS 2024
19-3011,Economists,15880.0,115440.0,BLS OEWS 2024
19-3022,Survey Researchers,7720.0,63380.0,BLS OEWS 2024
19-3030,Psychologists,154860.0,94310.0,BLS OEWS 2024
19-3032,Industrial-Organizational Psychologists,1050.0,109840.0,BLS OEWS 2024
19-3033,Clinical and Counseling Psychologists,72190.0,95830.0,BLS OEWS 2024
19-3034,School Psychologists,63830.0,86930.0,BLS OEWS 2024
19-3039,"Psychologists, All Other",17790.0,117580.0,BLS OEWS 2024
19-3041,Sociologists,2950.0,101690.0,BLS OEWS 2024
19-3051,Urban and Regional Planners,43040.0,83720.0,BLS OEWS 2024
19-3090,Miscellaneous Social Scientists and Related Workers,55510.0,96660.0,BLS OEWS 2024
19-3091,Anthropologists and Archeologists,8070.0,64910.0,BLS OEWS 2024
19-3092,Geographers,1380.0,97200.0,BLS OEWS 2024
19-3093,Historians,3140.0,74050.0,BLS OEWS 2024
19-3094,Political Scientists,5950.0,139380.0,BLS OEWS 2024
19-3099,"Social Scientists and Related Workers, All Other",36970.0,100340.0,BLS OEWS 2024
19-4000,"Life, Physical, and Social Science Technicians",373260.0,55810.0,BLS OEWS 2024
19-4010,Agricultural and Food Science Technicians,28550.0,48480.0,BLS OEWS 2024
19-4012,Agricultural Technicians,14340.0,46790.0,BLS OEWS 2024
19-4013,Food Science Technicians,14200.0,49430.0,BLS OEWS 2024
19-4021,Biological Technicians,76190.0,52000.0,BLS OEWS 2024
19-4031,Chemical Technicians,55640.0,57790.0,BLS OEWS 2024
19-4040,Environmental Science and Geoscience Technicians,52030.0,49690.0,BLS OEWS 2024
19-4042,"Environmental Science and Protection Technicians, Including Health",39390.0,49490.0,BLS OEWS 2024
19-4043,"Geological Technicians, Except Hydrologic Technicians",9710.0,48390.0,BLS OEWS 2024
19-4044,Hydrologic Technicians,2940.0,58570.0,BLS OEWS 2024
19-4051,Nuclear Technicians,5990.0,104240.0,BLS OEWS 2024
19-4061,Social Science Research Assistants,32940.0,58040.0,BLS OEWS 2024
19-4071,Forest and Conservation Technicians,31080.0,54310.0,BLS OEWS 2024
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",90840.0,61570.0,BLS OEWS 2024
19-4092,Forensic Science Technicians,19450.0,67440.0,BLS OEWS 2024
19-4099,"Life, Physical, and Social Science Technicians, All Other",71400.0,60130.0,BLS OEWS 2024
19-5010,Occupational Health and Safety Specialists and Technicians,159880.0,78900.0,BLS OEWS 2024
19-5011,Occupational Health and Safety Specialists,128430.0,83910.0,BLS OEWS 2024
19-5012,Occupational Health and Safety Technicians,31450.0,58440.0,BLS OEWS 2024
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2477920.0,57480.0,BLS OEWS 2024
21-1010,Counselors,970870.0,60200.0,BLS OEWS 2024
21-1012,"Educational, Guidance, and Career Counselors and Advisors",342350.0,65140.0,BLS OEWS 2024
21-1013,Marriage and Family Therapists,65870.0,63780.0,BLS OEWS 2024
21-1015,Rehabilitation Counselors,88930.0,46110.0,BLS OEWS 2024
