soc_code,occupation_title,employment_national,annual_median_wage,source
27-1010,Artists and Related Workers,93390.0,99060.0,BLS OEWS 2024
27-1011,Art Directors,50370.0,111040.0,BLS OEWS 2024
27-1012,Craft Artists,4370.0,38480.0,BLS OEWS 2024
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",10000.0,60560.0,BLS OEWS 2024
27-1014,Special Effects Artists and Animators,21280.0,99800.0,BLS OEWS 2024
27-1019,"Artists and Related Workers, All Other",7370.0,72760.0,BLS OEWS 2024
27-1020,Designers,588160.0,49020.0,BLS OEWS 2024
27-1021,Commercial and Industrial Designers,30250.0,79450.0,BLS OEWS 2024
27-1022,Fashion Designers,20910.0,80690.0,BLS OEWS 2024
27-1023,Floral Designers,40160.0,36120.0,BLS OEWS 2024
27-1024,Graphic Designers,214260.0,61300.0,BLS OEWS 2024
27-1025,Interior Designers,69580.0,63490.0,BLS OEWS 2024
27-1026,Merchandise Displayers and Window Trimmers,192480.0,37350.0,BLS OEWS 2024
27-1027,Set and Exhibit Designers,10850.0,66280.0,BLS OEWS 2024
27-1029,"Designers, All Other",9680.0,66220.0,BLS OEWS 2024
27-2000,"Entertainers and Performers, Sports and Related Workers",550830.0,54870.0,BLS OEWS 2024
27-2010,"Actors, Producers, and Directors",184070.0,78000.0,BLS OEWS 2024
27-2011,Actors,38800.0,,BLS OEWS 2024
27-2012,Producers and Directors,145270.0,83480.0,BLS OEWS 2024
27-2020,"Athletes, Coaches, Umpires, and Related Workers",280390.0,45920.0,BLS OEWS 2024
27-2021,Athletes and Sports Competitors,14370.0,62360.0,BLS OEWS 2024
27-2022,Coaches and Scouts,250940.0,45920.0,BLS OEWS 2024
27-2023,"Umpires, Referees, and Other Sports Officials",15080.0,38820.0,BLS OEWS 2024
27-2030,Dancers and Choreographers,12490.0,51020.0,BLS OEWS 2024
27-2031,Dancers,9060.0,,BLS OEWS 2024
27-2032,Choreographers,3430.0,55600.0,BLS OEWS 2024
27-2040,"Musicians, Singers, and Related Workers",50680.0,,BLS OEWS 2024
27-2041,Music Directors and Composers,12330.0,63670.0,BLS OEWS 2024
27-2042,Musicians and Singers,38350.0,,BLS OEWS 2024
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",23210.0,,BLS OEWS 2024
27-2091,"Disc Jockeys, Except Radio",8170.0,,BLS OEWS 2024
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",15040.0,,BLS OEWS 2024
27-3000,Media and Communication Workers,634400.0,70300.0,BLS OEWS 2024
27-3011,Broadcast Announcers and Radio Disc Jockeys,23880.0,45680.0,BLS OEWS 2024
27-3023,"News Analysts, Reporters, and Journalists",41550.0,60280.0,BLS OEWS 2024
27-3031,Public Relations Specialists,280590.0,69780.0,BLS OEWS 2024
27-3040,Writers and Editors,198810.0,78100.0,BLS OEWS 2024
27-3041,Editors,95480.0,75260.0,BLS OEWS 2024
27-3042,Technical Writers,55530.0,91670.0,BLS OEWS 2024
27-3043,Writers and Authors,47800.0,72270.0,BLS OEWS 2024
27-3090,Miscellaneous Media and Communication Workers,89580.0,62500.0,BLS OEWS 2024
27-3091,Interpreters and Translators,53360.0,59440.0,BLS OEWS 2024
27-3092,Court Reporters and Simultaneous Captioners,12630.0,67310.0,BLS OEWS 2024
27-3099,"Media and Communication Workers, All Other",23590.0,71770.0,BLS OEWS 2024
27-4000,Media and Communication Equipment Workers,231910.0,56480.0,BLS OEWS 2024
27-4010,"Broadcast, Sound, and Lighting Technicians",114340.0,56600.0,BLS OEWS 2024
27-4011,Audio and Video Technicians,70080.0,54830.0,BLS OEWS 2024
27-4012,Broadcast Technicians,21080.0,53920.0,BLS OEWS 2024
27-4014,Sound Engineering Technicians,13050.0,66430.0,BLS OEWS 2024
27-4015,Lighting Technicians,10130.0,60560.0,BLS OEWS 2024
27-4021,Photographers,51230.0,42520.0,BLS OEWS 2024
27-4030,"Television, Video, and Film Camera Operators and Editors",53330.0,70570.0,BLS OEWS 2024
27-4031,"Camera Operators, Television, Video, and Film",24460.0,68810.0,BLS OEWS 2024
27-4032,Film and Video Editors,28860.0,70980.0,BLS OEWS 2024
27-4099,"Media and Communication Equipment Workers, All Other",13020.0,67190.0,BLS OEWS 2024
29-1000,Healthcare Diagnosing or Treating Practitioners,6338160.0,101370.0,BLS OEWS 2024
29-1011,Chiropractors,37630.0,79000.0,BLS OEWS 2024
29-1020,Dentists,130620.0,179210.0,BLS OEWS 2024
29-1021,"Dentists, General",113490.0,172790.0,BLS OEWS 2024
29-1022,Oral and Maxillofacial Surgeons,5330.0,,BLS OEWS 2024
29-1023,Orthodontists,5150.0,,BLS OEWS 2024
29-1024,Prosthodontists,760.0,,BLS OEWS 2024
29-1029,"Dentists, All Other Specialists",5900.0,225770.0,BLS OEWS 2024
29-1031,Dietitians and Nutritionists,76570.0,73850.0,BLS OEWS 2024
29-1041,Optometrists,41890.0,134830.0,BLS OEWS 2024
29-1051,Pharmacists,328870.0,137480.0,BLS OEWS 2024
29-1071,Physician Assistants,155540.0,133260.0,BLS OEWS 2024
29-1081,Podiatrists,9520.0,152800.0,BLS OEWS 2024
29-1120,Therapists,777300.0,95010.0,BLS OEWS 2024
29-1122,Occupational Therapists,152280.0,98340.0,BLS OEWS 2024
29-1123,Physical Therapists,248630.0,101020.0,BLS OEWS 2024
29-1124,Radiation Therapists,18700.0,101990.0,BLS OEWS 2024
29-1125,Recreational Therapists,15060.0,60280.0,BLS OEWS 2024
29-1126,Respiratory Therapists,136420.0,80450.0,BLS OEWS 2024
29-1127,Speech-Language Pathologists,178790.0,95410.0,BLS OEWS 2024
29-1128,Exercise Physiologists,8110.0,58160.0,BLS OEWS 2024
29-1129,"Therapists, All Other",19320.0,65010.0,BLS OEWS 2024
29-1131,Veterinarians,80630.0,125510.0,BLS OEWS 2024
29-1141,Registered Nurses,3282010.0,93600.0,BLS OEWS 2024
29-1151,Nurse Anesthetists,50350.0,223210.0,BLS OEWS 2024
29-1161,Nurse Midwives,8280.0,128790.0,BLS OEWS 2024
29-1171,Nurse Practitioners,307390.0,129210.0,BLS OEWS 2024
29-1181,Audiologists,14730.0,92120.0,BLS OEWS 2024
29-1210,Physicians,727050.0,,BLS OEWS 2024
29-1211,Anesthesiologists,41890.0,,BLS OEWS 2024
29-1212,Cardiologists,18020.0,,BLS OEWS 2024
29-1213,Dermatologists,10080.0,,BLS OEWS 2024
29-1214,Emergency Medicine Physicians,33680.0,,BLS OEWS 2024
29-1215,Family Medicine Physicians,107950.0,238380.0,BLS OEWS 2024
29-1216,General Internal Medicine Physicians,66640.0,236350.0,BLS OEWS 2024
29-1217,Neurologists,7700.0,,BLS OEWS 2024
29-1218,Obstetricians and Gynecologists,19900.0,,BLS OEWS 2024
29-1221,"Pediatricians, General",42960.0,210130.0,BLS OEWS 2024
29-1222,"Physicians, Pathologists",11800.0,,BLS OEWS 2024
29-1223,Psychiatrists,24800.0,,BLS OEWS 2024
29-1224,Radiologists,26290.0,,BLS OEWS 2024
29-1229,"Physicians, All Other",315360.0,,BLS OEWS 2024
29-1240,Surgeons,51400.0,,BLS OEWS 2024
29-1241,"Ophthalmologists, Except Pediatric",12110.0,,BLS OEWS 2024
29-1242,"Orthopedic Surgeons, Except Pediatric",14160.0,,BLS OEWS 2024
29-1243,Pediatric Surgeons,1050.0,,BLS OEWS 2024
29-1249,"Surgeons, All Other",24080.0,,BLS OEWS 2024
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,258380.0,94920.0,BLS OEWS 2024
29-1291,Acupuncturists,8440.0,78140.0,BLS OEWS 2024
29-1292,Dental Hygienists,219070.0,94260.0,BLS OEWS 2024
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",30870.0,113730.0,BLS OEWS 2024
29-2000,Health Technologists and Technicians,3124620.0,54270.0,BLS OEWS 2024
29-2010,Clinical Laboratory Technologists and Technicians,343040.0,61890.0,BLS OEWS 2024
29-2030,Diagnostic Related Technologists and Technicians,433560.0,80660.0,BLS OEWS 2024
29-2031,Cardiovascular Technologists and Technicians,61180.0,67260.0,BLS OEWS 2024
29-2032,Diagnostic Medical Sonographers,86460.0,89340.0,BLS OEWS 2024
29-2033,Nuclear Medicine Technologists,16960.0,97020.0,BLS OEWS 2024
29-2034,Radiologic Technologists and Technicians,223460.0,77660.0,BLS OEWS 2024
29-2035,Magnetic Resonance Imaging Technologists,41530.0,88180.0,BLS OEWS 2024
29-2036,Medical Dosimetrists,3970.0,138110.0,BLS OEWS 2024
29-2040,Emergency Medical Technicians and Paramedics,277520.0,46350.0,BLS OEWS 2024
29-2042,Emergency Medical Technicians,177980.0,41340.0,BLS OEWS 2024
29-2043,Paramedics,99530.0,58410.0,BLS OEWS 2024
29-2050,Health Practitioner Support Technologists and Technicians,975890.0,45010.0,BLS OEWS 2024
29-2051,Dietetic Technicians,29950.0,37040.0,BLS OEWS 2024
29-2052,Pharmacy Technicians,487920.0,43460.0,BLS OEWS 2024
29-2053,Psychiatric Technicians,136300.0,42590.0,BLS OEWS 2024
29-2055,Surgical Technologists,113890.0,62830.0,BLS OEWS 2024
29-2056,Veterinary Technologists and Technicians,131320.0,45980.0,BLS OEWS 2024
29-2057,Ophthalmic Medical Technicians,76520.0,44080.0,BLS OEWS 2024
29-2061,Licensed Practical and Licensed Vocational Nurses,632430.0,62340.0,BLS OEWS 2024
29-2072,Medical Records Specialists,187910.0,50250.0,BLS OEWS 2024
29-2081,"Opticians, Dispensing",79690.0,46560.0,BLS OEWS 2024
29-2090,Miscellaneous Health Technologists and Technicians,194570.0,49600.0,BLS OEWS 2024
29-2091,Orthotists and Prosthetists,9930.0,78310.0,BLS OEWS 2024
29-2092,Hearing Aid Specialists,10580.0,61560.0,BLS OEWS 2024
29-2099,"Health Technologists and Technicians, All Other",174060.0,48790.0,BLS OEWS 2024
29-9000,Other Healthcare Practitioners and Technical Occupations,129910.0,62820.0,BLS OEWS 2024
29-9021,Health Information Technologists and Medical Registrars,37620.0,67310.0,BLS OEWS 2024
29-9090,Miscellaneous Health Practitioners and Technical Workers,92290.0,61890.0,BLS OEWS 2024
29-9091,Athletic Trainers,28950.0,60250.0,BLS OEWS 2024
29-9092,Genetic Counselors,3510.0,98910.0,BLS OEWS 2024
29-9093,Surgical Assistants,22860.0,60290.0,BLS OEWS 2024
29-9099,"Healthcare Practitioners and Technical Workers, All Other",36970.0,64030.0,BLS OEWS 2024
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",5464490.0,35940.0,BLS OEWS 2024
31-1120,Home Health and Personal Care Aides,3988140.0,34900.0,BLS OEWS 2024
31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",1476350.0,39470.0,BLS OEWS 2024
31-1131,Nursing Assistants,1388430.0,39530.0,BLS OEWS 2024
31-1132,Orderlies,53020.0,37700.0,BLS OEWS 2024
31-1133,Psychiatric Aides,34900.0,41590.0,BLS OEWS 2024
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,204940.0,61730.0,BLS OEWS 2024
31-2010,Occupational Therapy Assistants and Aides,52910.0,66050.0,BLS OEWS 2024
31-2011,Occupational Therapy Assistants,47910.0,68340.0,BLS OEWS 2024
31-2012,Occupational Therapy Aides,5000.0,37370.0,BLS OEWS 2024
31-2020,Physical Therapist Assistants and Aides,152020.0,60050.0,BLS OEWS 2024
31-2021,Physical Therapist Assistants,108010.0,65510.0,BLS OEWS 2024
31-2022,Physical Therapist Aides,44010.0,34520.0,BLS OEWS 2024
31-9000,Other Healthcare Support Occupations,1778580.0,45000.0,BLS OEWS 2024
31-9011,Massage Therapists,96040.0,57950.0,BLS OEWS 2024
31-9090,Miscellaneous Healthcare Support Occupations,1682540.0,44720.0,BLS OEWS 2024
31-9091,Dental Assistants,375430.0,47300.0,BLS OEWS 2024
31-9092,Medical Assistants,793460.0,44200.0,BLS OEWS 2024
31-9093,Medical Equipment Preparers,72760.0,46490.0,BLS OEWS 2024
31-9094,Medical Transcriptionists,43070.0,37550.0,BLS OEWS 2024
31-9095,Pharmacy Aides,41100.0,37000.0,BLS OEWS 2024
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,114190.0,37320.0,BLS OEWS 2024
31-9097,Phlebotomists,138880.0,43660.0,BLS OEWS 2024
31-9099,"Healthcare Support Workers, All Other",103650.0,46050.0,BLS OEWS 2024
33-1000,Supervisors of Protective Service Workers,390970.0,87050.0,BLS OEWS 2024
33-1010,First-Line Supervisors of Law Enforcement Workers,206520.0,99130.0,BLS OEWS 2024
33-1011,First-Line Supervisors of Correctional Officers,53390.0,76310.0,BLS OEWS 2024
33-1012,First-Line Supervisors of Police and Detectives,153130.0,105980.0,BLS OEWS 2024
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,93680.0,92430.0,BLS OEWS 2024
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",90770.0,60190.0,BLS OEWS 2024
33-1091,First-Line Supervisors of Security Workers,70310.0,58610.0,BLS OEWS 2024
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",20460.0,74960.0,BLS OEWS 2024
33-2000,Firefighting and Prevention Workers,349070.0,59870.0,BLS OEWS 2024
33-2011,Firefighters,332240.0,59530.0,BLS OEWS 2024
33-2020,Fire Inspectors,16830.0,75480.0,BLS OEWS 2024
33-2021,Fire Inspectors and Investigators,14050.0,78060.0,BLS OEWS 2024
33-2022,Forest Fire Inspectors and Prevention Specialists,2780.0,52380.0,BLS OEWS 2024
33-3000,Law Enforcement Workers,1177270.0,70530.0,BLS OEWS 2024
33-3010,"Bailiffs, Correctional Officers, and Jailers",382300.0,57950.0,BLS OEWS 2024
33-3011,Bailiffs,16910.0,57050.0,BLS OEWS 2024
33-3012,Correctional Officers and Jailers,365380.0,57970.0,BLS OEWS 2024
33-3021,Detectives and Criminal Investigators,110790.0,93580.0,BLS OEWS 2024
33-3031,Fish and Game Wardens,6420.0,68180.0,BLS OEWS 2024
33-3041,Parking Enforcement Workers,7770.0,47150.0,BLS OEWS 2024
33-3050,Police Officers,669990.0,76300.0,BLS OEWS 2024
33-3051,Police and Sheriff's Patrol Officers,666990.0,76290.0,BLS OEWS 2024
33-3052,Transit and Railroad Police,3000.0,82320.0,BLS OEWS 2024
33-9000,Other Protective Service Workers,1737600.0,38230.0,BLS OEWS 2024
33-9011,Animal Control Workers,11790.0,45830.0,BLS OEWS 2024
33-9021,Private Detectives and Investigators,38700.0,52370.0,BLS OEWS 2024
33-9030,Security Guards and Gambling Surveillance Officers,1251760.0,38390.0,BLS OEWS 2024
33-9031,Gaming Surveillance Officers and Gambling Investigators,10000.0,43900.0,BLS OEWS 2024
33-9032,Security Guards,1241770.0,38370.0,BLS OEWS 2024
33-9090,Miscellaneous Protective Service Workers,435360.0,37120.0,BLS OEWS 2024
33-9091,Crossing Guards and Flaggers,90180.0,37700.0,BLS OEWS 2024
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",143590.0,33720.0,BLS OEWS 2024
33-9093,Transportation Security Screeners,46340.0,63360.0,BLS OEWS 2024
33-9094,School Bus Monitors,72140.0,34980.0,BLS OEWS 2024
33-9099,"Protective Service Workers, All Other",83110.0,41600.0,BLS OEWS 2024
35-1010,Supervisors of Food Preparation and Serving Workers,1369780.0,44140.0,BLS OEWS 2024
35-1011,Chefs and Head Cooks,182320.0,60990.0,BLS OEWS 2024
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,1187460.0,42010.0,BLS OEWS 2024
35-2000,Cooks and Food Preparation Workers,3632290.0,35450.0,BLS OEWS 2024
35-2010,Cooks,2743520.0,35760.0,BLS OEWS 2024
35-2011,"Cooks, Fast Food",668230.0,30160.0,BLS OEWS 2024
35-2012,"Cooks, Institution and Cafeteria",448260.0,36450.0,BLS OEWS 2024
35-2013,"Cooks, Private Household",900.0,44530.0,BLS OEWS 2024
35-2014,"Cooks, Restaurant",1452130.0,36830.0,BLS OEWS 2024
35-2015,"Cooks, Short Order",150420.0,35620.0,BLS OEWS 2024
35-2019,"Cooks, All Other",23590.0,36210.0,BLS OEWS 2024
35-2021,Food Preparation Workers,888770.0,34220.0,BLS OEWS 2024
35-3000,Food and Beverage Serving Workers,7101010.0,31470.0,BLS OEWS 2024
35-3011,Bartenders,745610.0,33530.0,BLS OEWS 2024
35-3023,Fast Food and Counter Workers,3780930.0,30480.0,BLS OEWS 2024
35-3031,Waiters and Waitresses,2302690.0,33760.0,BLS OEWS 2024
35-3041,"Food Servers, Nonrestaurant",271780.0,34460.0,BLS OEWS 2024
35-9000,Other Food Preparation and Serving Related Workers,1510410.0,32680.0,BLS OEWS 2024
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,522010.0,32670.0,BLS OEWS 2024
35-9021,Dishwashers,471670.0,33670.0,BLS OEWS 2024
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",427150.0,30380.0,BLS OEWS 2024
35-9099,"Food Preparation and Serving Related Workers, All Other",89580.0,34830.0,BLS OEWS 2024
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,298790.0,49990.0,BLS OEWS 2024
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,174660.0,47520.0,BLS OEWS 2024
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",124130.0,56170.0,BLS OEWS 2024
37-2000,Building Cleaning and Pest Control Workers,3167290.0,35750.0,BLS OEWS 2024
37-2010,Building Cleaning Workers,3071180.0,35630.0,BLS OEWS 2024
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2199900.0,35930.0,BLS OEWS 2024
37-2012,Maids and Housekeeping Cleaners,854910.0,34660.0,BLS OEWS 2024
37-2019,"Building Cleaning Workers, All Other",16370.0,42360.0,BLS OEWS 2024
37-2021,Pest Control Workers,96110.0,44730.0,BLS OEWS 2024
37-3010,Grounds Maintenance Workers,1030070.0,38470.0,BLS OEWS 2024
37-3011,Landscaping and Groundskeeping Workers,943430.0,38090.0,BLS OEWS 2024
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",25200.0,45200.0,BLS OEWS 2024
37-3013,Tree Trimmers and Pruners,47870.0,50430.0,BLS OEWS 2024
37-3019,"Grounds Maintenance Workers, All Other",13580.0,43410.0,BLS OEWS 2024
39-1000,Supervisors of Personal Care and Service Workers,225420.0,48050.0,BLS OEWS 2024
39-1010,First-Line Supervisors of Entertainment and Recreation Workers,118360.0,49100.0,BLS OEWS 2024
39-1013,First-Line Supervisors of Gambling Services Workers,25530.0,61590.0,BLS OEWS 2024
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",92830.0,46900.0,BLS OEWS 2024
39-1022,First-Line Supervisors of Personal Service Workers,107060.0,47080.0,BLS OEWS 2024
39-2000,Animal Care and Service Workers,297420.0,33860.0,BLS OEWS 2024
39-2011,Animal Trainers,20110.0,38750.0,BLS OEWS 2024
39-2021,Animal Caretakers,277300.0,33470.0,BLS OEWS 2024
39-3000,Entertainment Attendants and Related Workers,627560.0,31200.0,BLS OEWS 2024
39-3010,Gambling Services Workers,105500.0,33280.0,BLS OEWS 2024
39-3011,Gambling Dealers,82980.0,33280.0,BLS OEWS 2024
39-3012,Gambling and Sports Book Writers and Runners,7600.0,30460.0,BLS OEWS 2024
39-3019,"Gambling Service Workers, All Other",14920.0,34530.0,BLS OEWS 2024
39-3021,Motion Picture Projectionists,1950.0,38180.0,BLS OEWS 2024
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",119210.0,31150.0,BLS OEWS 2024
39-3090,Miscellaneous Entertainment Attendants and Related Workers,400900.0,31020.0,BLS OEWS 2024
39-3091,Amusement and Recreation Attendants,371590.0,30490.0,BLS OEWS 2024
39-3092,Costume Attendants,6290.0,54810.0,BLS OEWS 2024
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",14960.0,34800.0,BLS OEWS 2024
39-3099,"Entertainment Attendants and Related Workers, All Other",8060.0,34550.0,BLS OEWS 2024
39-4000,Funeral Service Workers,62630.0,39170.0,BLS OEWS 2024
39-4010,Embalmers and Crematory Operators,6360.0,48610.0,BLS OEWS 2024
39-4011,Embalmers,3420.0,56280.0,BLS OEWS 2024
39-4012,Crematory Operators,2950.0,42880.0,BLS OEWS 2024
39-4021,Funeral Attendants,30560.0,34610.0,BLS OEWS 2024
39-4031,"Morticians, Undertakers, and Funeral Arrangers",25700.0,49800.0,BLS OEWS 2024
39-5000,Personal Appearance Workers,543830.0,35310.0,BLS OEWS 2024
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",313560.0,35420.0,BLS OEWS 2024
39-5011,Barbers,18100.0,38960.0,BLS OEWS 2024
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",295460.0,35250.0,BLS OEWS 2024
39-5090,Miscellaneous Personal Appearance Workers,230270.0,35260.0,BLS OEWS 2024
39-5091,"Makeup Artists, Theatrical and Performance",3320.0,50280.0,BLS OEWS 2024
39-5092,Manicurists and Pedicurists,147820.0,34660.0,BLS OEWS 2024
39-5093,Shampooers,8890.0,31470.0,BLS OEWS 2024
39-5094,Skincare Specialists,70240.0,41560.0,BLS OEWS 2024
39-6010,"Baggage Porters, Bellhops, and Concierges",75430.0,36810.0,BLS OEWS 2024
39-6011,Baggage Porters and Bellhops,31220.0,36020.0,BLS OEWS 2024
39-6012,Concierges,44200.0,37320.0,BLS OEWS 2024
39-7010,Tour and Travel Guides,49010.0,36660.0,BLS OEWS 2024
39-9000,Other Personal Care and Service Workers,1278640.0,35550.0,BLS OEWS 2024
39-9011,Childcare Workers,520180.0,32050.0,BLS OEWS 2024
39-9030,Recreation and Fitness Workers,613260.0,37420.0,BLS OEWS 2024
39-9031,Exercise Trainers and Group Fitness Instructors,303620.0,46180.0,BLS OEWS 2024
39-9032,Recreation Workers,309640.0,35380.0,BLS OEWS 2024
39-9041,Residential Advisors,82810.0,39180.0,BLS OEWS 2024
39-9099,"Personal Care and Service Workers, All Other",62390.0,37900.0,BLS OEWS 2024
41-1010,First-Line Supervisors of Sales Workers,1332180.0,49510.0,BLS OEWS 2024
41-1011,First-Line Supervisors of Retail Sales Workers,1113160.0,47320.0,BLS OEWS 2024
41-1012,First-Line Supervisors of Non-Retail Sales Workers,219010.0,84130.0,BLS OEWS 2024
41-2000,Retail Sales Workers,7633890.0,33690.0,BLS OEWS 2024
41-2010,Cashiers,3169970.0,31200.0,BLS OEWS 2024
41-2011,Cashiers,3148030.0,31190.0,BLS OEWS 2024
41-2012,Gambling Change Persons and Booth Cashiers,21930.0,34810.0,BLS OEWS 2024
41-2020,Counter and Rental Clerks and Parts Salespersons,663680.0,38100.0,BLS OEWS 2024
41-2021,Counter and Rental Clerks,398620.0,38540.0,BLS OEWS 2024
41-2022,Parts Salespersons,265060.0,37440.0,BLS OEWS 2024
41-2031,Retail Salespersons,3800250.0,34580.0,BLS OEWS 2024
41-3000,"Sales Representatives, Services",2287740.0,64200.0,BLS OEWS 2024
41-3011,Advertising Sales Agents,97470.0,61460.0,BLS OEWS 2024
41-3021,Insurance Sales Agents,469480.0,60370.0,BLS OEWS 2024
41-3031,"Securities, Commodities, and Financial Services Sales Agents",472300.0,78140.0,BLS OEWS 2024
41-3041,Travel Agents,59150.0,48450.0,BLS OEWS 2024
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1189330.0,66260.0,BLS OEWS 2024
41-4010,"Sales Representatives, Wholesale and Manufacturing",1560790.0,74100.0,BLS OEWS 2024
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",293930.0,100070.0,BLS OEWS 2024
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1266860.0,66780.0,BLS OEWS 2024
41-9000,Other Sales and Related Workers,537090.0,49720.0,BLS OEWS 2024
41-9010,"Models, Demonstrators, and Product Promoters",70120.0,38760.0,BLS OEWS 2024
41-9011,Demonstrators and Product Promoters,64770.0,37960.0,BLS OEWS 2024
41-9012,Models,5350.0,89990.0,BLS OEWS 2024
41-9020,Real Estate Brokers and Sales Agents,240190.0,58960.0,BLS OEWS 2024
41-9021,Real Estate Brokers,49590.0,72280.0,BLS OEWS 2024
41-9022,Real Estate Sales Agents,190600.0,56320.0,BLS OEWS 2024
41-9031,Sales Engineers,56690.0,121520.0,BLS OEWS 2024
41-9041,Telemarketers,66430.0,34410.0,BLS OEWS 2024
41-9090,Miscellaneous Sales and Related Workers,103660.0,46000.0,BLS OEWS 2024
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",4590.0,34530.0,BLS OEWS 2024
41-9099,"Sales and Related Workers, All Other",99070.0,46370.0,BLS OEWS 2024
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1495580.0,66140.0,BLS OEWS 2024
43-2000,Communications Equipment Operators,41070.0,38600.0,BLS OEWS 2024
43-2011,"Switchboard Operators, Including Answering Service",35730.0,38370.0,BLS OEWS 2024
43-2021,Telephone Operators,3950.0,39130.0,BLS OEWS 2024
43-2099,"Communications Equipment Operators, All Other",1390.0,49910.0,BLS OEWS 2024
43-3000,Financial Clerks,2645000.0,47370.0,BLS OEWS 2024
43-3011,Bill and Account Collectors,165020.0,46040.0,BLS OEWS 2024
43-3021,Billing and Posting Clerks,417500.0,47170.0,BLS OEWS 2024
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1455770.0,49210.0,BLS OEWS 2024
43-3041,Gambling Cage Workers,13490.0,36990.0,BLS OEWS 2024
43-3051,Payroll and Timekeeping Clerks,156950.0,55290.0,BLS OEWS 2024
43-3061,Procurement Clerks,59900.0,48510.0,BLS OEWS 2024
43-3071,Tellers,339340.0,39340.0,BLS OEWS 2024
43-3099,"Financial Clerks, All Other",37030.0,52150.0,BLS OEWS 2024
43-4000,Information and Record Clerks,5311310.0,41600.0,BLS OEWS 2024
43-4011,Brokerage Clerks,40090.0,62940.0,BLS OEWS 2024
43-4021,Correspondence Clerks,6260.0,46740.0,BLS OEWS 2024
43-4031,"Court, Municipal, and License Clerks",170010.0,47700.0,BLS OEWS 2024
43-4041,"Credit Authorizers, Checkers, and Clerks",11960.0,49130.0,BLS OEWS 2024
43-4051,Customer Service Representatives,2725930.0,42830.0,BLS OEWS 2024
43-4061,"Eligibility Interviewers, Government Programs",156260.0,51500.0,BLS OEWS 2024
43-4071,File Clerks,78980.0,41270.0,BLS OEWS 2024
43-4081,"Hotel, Motel, and Resort Desk Clerks",261430.0,34270.0,BLS OEWS 2024
43-4111,"Interviewers, Except Eligibility and Loan",157310.0,43830.0,BLS OEWS 2024
43-4121,"Library Assistants, Clerical",80070.0,36010.0,BLS OEWS 2024
43-4131,Loan Interviewers and Clerks,173100.0,48950.0,BLS OEWS 2024
43-4141,New Accounts Clerks,38030.0,46610.0,BLS OEWS 2024
43-4151,Order Clerks,83420.0,44660.0,BLS OEWS 2024
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",92580.0,49440.0,BLS OEWS 2024
43-4171,Receptionists and Information Clerks,964530.0,37230.0,BLS OEWS 2024
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,127440.0,41460.0,BLS OEWS 2024
43-4199,"Information and Record Clerks, All Other",143910.0,48360.0,BLS OEWS 2024
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",2319860.0,48090.0,BLS OEWS 2024
43-5011,Cargo and Freight Agents,97800.0,49900.0,BLS OEWS 2024
43-5021,Couriers and Messengers,71920.0,38340.0,BLS OEWS 2024
43-5030,Dispatchers,312140.0,49500.0,BLS OEWS 2024
43-5031,Public Safety Telecommunicators,101140.0,50730.0,BLS OEWS 2024
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",211000.0,48880.0,BLS OEWS 2024
