doc_id,cip4,degree_level,cip_title,median_earnings_4yr_nat,text
1003_Bachelors_Degree,1003,Bachelor's Degree,Graphic Communications.,43283.0,"CIP family (cip4): 1003
Field of study: Graphic Communications.
Degree level: Bachelor's Degree
Median earnings (4 years after completion, national): $43,283

Related occupations with OEWS wages (top 10 by employment):
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110"
1003_Masters_Degree,1003,Master's Degree,Graphic Communications.,57810.0,"CIP family (cip4): 1003
Field of study: Graphic Communications.
Degree level: Master's Degree
Median earnings (4 years after completion, national): $57,810

Related occupations with OEWS wages (top 10 by employment):
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110"
1003_Non-Credential_Program_(Preparatory_Coursework/Teacher_Certification),1003,Non-Credential Program (Preparatory Coursework/Teacher Certification),Graphic Communications.,27684.0,"CIP family (cip4): 1003
Field of study: Graphic Communications.
Degree level: Non-Credential Program (Preparatory Coursework/Teacher Certification)
Median earnings (4 years after completion, national): $27,684

Related occupations with OEWS wages (top 10 by employment):
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110"
1003_Undergraduate_Certificate_or_Diploma,1003,Undergraduate Certificate or Diploma,Graphic Communications.,32130.0,"CIP family (cip4): 1003
Field of study: Graphic Communications.
Degree level: Undergraduate Certificate or Diploma
Median earnings (4 years after completion, national): $32,130

Related occupations with OEWS wages (top 10 by employment):
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110
- 51-5112 Printing Press Operators | median wage $45,160 | employment 145,110"
1101_Associates_Degree,1101,Associate's Degree,"Computer and Information Sciences, General.",54246.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Associate's Degree
Median earnings (4 years after completion, national): $54,246

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1101_Bachelors_Degree,1101,Bachelor's Degree,"Computer and Information Sciences, General.",92374.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Bachelor's Degree
Median earnings (4 years after completion, national): $92,374

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1101_Doctoral_Degree,1101,Doctoral Degree,"Computer and Information Sciences, General.",154538.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Doctoral Degree
Median earnings (4 years after completion, national): $154,538

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1101_Graduate/Professional_Certificate,1101,Graduate/Professional Certificate,"Computer and Information Sciences, General.",112196.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Graduate/Professional Certificate
Median earnings (4 years after completion, national): $112,196

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1101_Masters_Degree,1101,Master's Degree,"Computer and Information Sciences, General.",124201.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Master's Degree
Median earnings (4 years after completion, national): $124,201

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1101_Non-Credential_Program_(Preparatory_Coursework/Teacher_Certification),1101,Non-Credential Program (Preparatory Coursework/Teacher Certification),"Computer and Information Sciences, General.",75268.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Non-Credential Program (Preparatory Coursework/Teacher Certification)
Median earnings (4 years after completion, national): $75,268

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
